30.54,30,30,30,30,.88355380170086,.818853998822794,.764203680755855,0,"STOP. Turn RIGHT and immediately LEFT to Ashburton on the R103","STOP. Turn RIGHT and immediately LEFT to Ashburton on the R103","STOP. Turn RIGHT and immediately LEFT to Ashburton on the R103","STOP. Turn RIGHT and immediately LEFT to Ashburton on the R103"
30.67,30,30,30,30,.887887135034194,.823187332156127,.768537014089188,0,"Bear left on slip road (at Parapak Centre)","Bear left on slip road (at Parapak Centre)","Bear left on slip road (at Parapak Centre)","Bear left on slip road (at Parapak Centre)"
30.72,40,45,50,54,.88955380170086,.824853998822794,.770203680755855,0,"Yield on Road","Yield on Road","Yield on Road","Yield on Road"
33.54,35,40,45,50,.96005380170086,.88752066548946,.826603680755855,0,"[Generic Farming] Instant Turf.","[Generic Farming] Instant Turf.","[Generic Farming] Instant Turf.","[Generic Farming] Instant Turf."
34.23,30,30,30,30,.979768087415146,.90477066548946,.841937014089188,0,"T-Junction.  STOP.  Turn RIGHT on R603 to Umlaas Road","T-Junction.  STOP.  Turn RIGHT on R603 to Umlaas Road","T-Junction.  STOP.  Turn RIGHT on R603 to Umlaas Road","T-Junction.  STOP.  Turn RIGHT on R603 to Umlaas Road"
35.44,30,30,30,30,1.02010142074848,.945103998822794,.882270347422521,0,"R103 Camperdown.  Carry straight on.","R103 Camperdown.  Carry straight on.","R103 Camperdown.  Carry straight on.","R103 Camperdown.  Carry straight on."
36.22,30,30,30,30,1.04610142074848,.971103998822794,.908270347422521,0,"R56 Richmond,R56 Thornville/R103 Ashburton, (N3) Pietermaritzburg.  Carry straight on.","R56 Richmond,R56 Thornville/R103 Ashburton, (N3) Pietermaritzburg.  Carry straight on.","R56 Richmond,R56 Thornville/R103 Ashburton, (N3) Pietermaritzburg.  Carry straight on.","R56 Richmond,R56 Thornville/R103 Ashburton, (N3) Pietermaritzburg.  Carry straight on."
38.06,46,55,64,72,1.10743475408181,1.03243733215613,.969603680755855,0,"Constantia Kunsmis. START of REGULARITY.","Constantia Kunsmis. START of REGULARITY.","Constantia Kunsmis. START of REGULARITY.","Constantia Kunsmis. START of REGULARITY."
47.41,20,20,20,20,1.31069562364703,1.20243733215613,1.11569743075585,0,"Warning - Speed humps. Be careful of fierce speed bumps.  START of OPEN SECTION","Warning - Speed humps. Be careful of fierce speed bumps.  START of OPEN SECTION","Warning - Speed humps. Be careful of fierce speed bumps.  START of OPEN SECTION","Warning - Speed humps. Be careful of fierce speed bumps.  START of OPEN SECTION"
47.66,25,25,25,25,1.32319562364703,1.21493733215613,1.12819743075585,0,"STOP. T-Junction. Turn RIGHT","STOP. T-Junction. Turn RIGHT","STOP. T-Junction. Turn RIGHT","STOP. T-Junction. Turn RIGHT"
47.97,42,49,57,64,1.33559562364703,1.22733733215613,1.14059743075585,0,"R56, Thornville 1, Pietermaritzburg 17  ","R56, Thornville 1, Pietermaritzburg 17  ","R56, Thornville 1, Pietermaritzburg 17  ","R56, Thornville 1, Pietermaritzburg 17  "
